region,Time,sex,edu,agest,prjpropfinal
52,2030,f,e1,15,0.27513885718016845
53,2030,f,e1,15,0.22064772151767123
11,2035,f,e1,15,0.2461839410984805
12,2035,f,e1,15,0.5589704300532905
13,2035,f,e1,15,0.6291735118925852
14,2035,f,e1,15,0.616015314998763
15,2035,f,e1,15,0.383177997154144
16,2035,f,e1,15,0.25804765172182564
17,2035,f,e1,15,0.20606582943199023
21,2035,f,e1,15,0.3227993005995441
22,2035,f,e1,15,0.20523303737143564
23,2035,f,e1,15,0.1866118494659039
24,2035,f,e1,15,0.17585877134867037
25,2035,f,e1,15,0.1832052737975133
26,2035,f,e1,15,0.2536819419221645
27,2035,f,e1,15,0.31299010717260933
28,2035,f,e1,15,0.2197154996283733
29,2035,f,e1,15,0.25976798454879063
31,2035,f,e1,15,0.14790810505530583
32,2035,f,e1,15,0.13368564292308027
33,2035,f,e1,15,0.17328665256387626
35,2035,f,e1,15,0.17129381820349002
41,2035,f,e1,15,0.13554321822198098
42,2035,f,e1,15,0.1110425226817746
43,2035,f,e1,15,0.13439535955011575
50,2035,f,e1,15,0.1673877494950418
51,2035,f,e1,15,0.2394984466059328
52,2035,f,e1,15,0.16496901059869298
53,2035,f,e1,15,0.13185784162334763
11,2040,f,e1,15,0.16545257906946115
12,2040,f,e1,15,0.3781831549817823
13,2040,f,e1,15,0.4288447247582366
14,2040,f,e1,15,0.4134053525108285
15,2040,f,e1,15,0.26184058353275275
16,2040,f,e1,15,0.1739047713583974
17,2040,f,e1,15,0.1376961556620742
21,2040,f,e1,15,0.2179471385344624
22,2040,f,e1,15,0.13868374422407778
23,2040,f,e1,15,0.12495059997565366
24,2040,f,e1,15,0.1182807312693836
25,2040,f,e1,15,0.12365352441407727
26,2040,f,e1,15,0.17131135425384014
27,2040,f,e1,15,0.2131214228892744
28,2040,f,e1,15,0.14901015349724392
29,2040,f,e1,15,0.175855509253038
31,2040,f,e1,15,0.0987527932175556
32,2040,f,e1,15,0.08920098762387929
33,2040,f,e1,15,0.11620192403165398
35,2040,f,e1,15,0.11391363616832402
41,2040,f,e1,15,0.0901646455166365
42,2040,f,e1,15,0.07367539208058801
43,2040,f,e1,15,0.08965939721199652
50,2040,f,e1,15,0.1121591711198093
51,2040,f,e1,15,0.1598692118418852
52,2040,f,e1,15,0.10995378857096984
53,2040,f,e1,15,0.08764421536766703
11,2045,f,e1,15,0.08318701747356223
12,2045,f,e1,15,0.19097252011173105
13,2045,f,e1,15,0.21817087914530311
14,2045,f,e1,15,0.2076099260426904
15,2045,f,e1,15,0.1334326521692423
16,2045,f,e1,15,0.0875834269248691
17,2045,f,e1,15,0.06891038748033794
21,2045,f,e1,15,0.10997731112580177
22,2045,f,e1,15,0.07004907661539979
23,2045,f,e1,15,0.06262644793228728
24,2045,f,e1,15,0.05953464710741287
25,2045,f,e1,15,0.06242442605537322
26,2045,f,e1,15,0.0864687007848666
27,2045,f,e1,15,0.10839472421744828
28,2045,f,e1,15,0.07552841286037962
29,2045,f,e1,15,0.08896031129482852
31,2045,f,e1,15,0.04936882903000586
32,2045,f,e1,15,0.04458102161226764
33,2045,f,e1,15,0.05829986071511055
35,2045,f,e1,15,0.05674995790975316
41,2045,f,e1,15,0.04495256242028316
42,2045,f,e1,15,0.03665177474094797
43,2045,f,e1,15,0.04480508272184377
50,2045,f,e1,15,0.05627468682607733
51,2045,f,e1,15,0.07990643275078195
52,2045,f,e1,15,0.05489341747526562
53,2045,f,e1,15,0.04366399875168255
11,2050,f,e1,15,0.08350016308418516
12,2050,f,e1,15,0.19202945141251332
13,2050,f,e1,15,0.220551314452494
14,2050,f,e1,15,0.2080921693472454
15,2050,f,e1,15,0.1351405739700575
16,2050,f,e1,15,0.08805185003324967
17,2050,f,e1,15,0.06896588590940139
21,2050,f,e1,15,0.1107093506786308
22,2050,f,e1,15,0.07059292133259694
23,2050,f,e1,15,0.06276451126780588
24,2050,f,e1,15,0.0598100429011554
25,2050,f,e1,15,0.06284548449081578
26,2050,f,e1,15,0.08703383117685115
27,2050,f,e1,15,0.10969984975530758
28,2050,f,e1,15,0.07625194270060251
29,2050,f,e1,15,0.08968603731290718
31,2050,f,e1,15,0.04937932797619436
32,2050,f,e1,15,0.04457130592035974
33,2050,f,e1,15,0.0584578814893732
35,2050,f,e1,15,0.05661135651806056
41,2050,f,e1,15,0.0448596918103754
42,2050,f,e1,15,0.03651643548682809
43,2050,f,e1,15,0.04479888533535887
50,2050,f,e1,15,0.05641109217229486
51,2050,f,e1,15,0.07985241306534856
52,2050,f,e1,15,0.05483878231299202
53,2050,f,e1,15,0.0435487512392145
11,2055,f,e1,15,0.08378295602258423
12,2055,f,e1,15,0.19305699205148663
13,2055,f,e1,15,0.22260394810260045
14,2055,f,e1,15,0.2085614757478031
15,2055,f,e1,15,0.13661983566145738
16,2055,f,e1,15,0.08847406148513112
17,2055,f,e1,15,0.0690311280620467
21,2055,f,e1,15,0.11134319894776784
22,2055,f,e1,15,0.0710507102112173
23,2055,f,e1,15,0.06289428110270505
24,2055,f,e1,15,0.06004529765686278
25,2055,f,e1,15,0.06319852921578878
26,2055,f,e1,15,0.08752530997055885
27,2055,f,e1,15,0.1107845554330222
28,2055,f,e1,15,0.07685538270424165
29,2055,f,e1,15,0.0903050272160557
31,2055,f,e1,15,0.04940798544966706
32,2055,f,e1,15,0.04458028534804266
33,2055,f,e1,15,0.05860863076408976
35,2055,f,e1,15,0.05653060256861354
41,2055,f,e1,15,0.04480301572832381
42,2055,f,e1,15,0.03642476301237841
43,2055,f,e1,15,0.04480931444493726
50,2055,f,e1,15,0.05653396385844028
51,2055,f,e1,15,0.07985052249202754
52,2055,f,e1,15,0.05481895443184326
53,2055,f,e1,15,0.04347561189684648
11,2060,f,e1,15,0
12,2060,f,e1,15,0
13,2060,f,e1,15,0
14,2060,f,e1,15,0
15,2060,f,e1,15,0
16,2060,f,e1,15,0
17,2060,f,e1,15,0
21,2060,f,e1,15,0
22,2060,f,e1,15,0
23,2060,f,e1,15,0
24,2060,f,e1,15,0
25,2060,f,e1,15,0
26,2060,f,e1,15,0
27,2060,f,e1,15,0
28,2060,f,e1,15,0
29,2060,f,e1,15,0
31,2060,f,e1,15,0
32,2060,f,e1,15,0
33,2060,f,e1,15,0
35,2060,f,e1,15,0
41,2060,f,e1,15,0
42,2060,f,e1,15,0
43,2060,f,e1,15,0
50,2060,f,e1,15,0
51,2060,f,e1,15,0
52,2060,f,e1,15,0
53,2060,f,e1,15,0
11,2010,m,e1,15,2.4645334409298174
12,2010,m,e1,15,6.16566967704924
13,2010,m,e1,15,5.160234537234463
14,2010,m,e1,15,5.2365524294717
15,2010,m,e1,15,3.2904018119304235
16,2010,m,e1,15,2.0129601006211097
17,2010,m,e1,15,2.1542936169512923
21,2010,m,e1,15,3.589136015930267
22,2010,m,e1,15,2.711700451020869
23,2010,m,e1,15,2.49160610972925
24,2010,m,e1,15,1.9611975103039023
25,2010,m,e1,15,2.3026787125960175
26,2010,m,e1,15,2.9728400084909685
27,2010,m,e1,15,3.348666332016812
