region,Time,sex,edu,agest,asfr
17,2020,f,e2,15,172.31846669591218
21,2020,f,e2,15,145.11746649679995
22,2020,f,e2,15,146.36591815566302
23,2020,f,e2,15,105.40944353391428
24,2020,f,e2,15,124.33619048124773
25,2020,f,e2,15,117.12841814032032
26,2020,f,e2,15,129.64490455860374
27,2020,f,e2,15,138.46517948745122
28,2020,f,e2,15,126.60504488474461
29,2020,f,e2,15,111.28325303430252
31,2020,f,e2,15,86.5868313461247
32,2020,f,e2,15,123.26288126644661
33,2020,f,e2,15,97.9687369534574
35,2020,f,e2,15,87.87462813840217
41,2020,f,e2,15,111.6936952345076
42,2020,f,e2,15,110.97605206049995
43,2020,f,e2,15,98.5556647310466
50,2020,f,e2,15,171.1615455984765
51,2020,f,e2,15,137.06515409445186
52,2020,f,e2,15,130.30685094292082
53,2020,f,e2,15,97.7631347653405
11,2025,f,e2,15,147.38888128105827
12,2025,f,e2,15,138.3475098997479
13,2025,f,e2,15,156.60748843235854
14,2025,f,e2,15,243.5995667812443
15,2025,f,e2,15,138.4163558011103
16,2025,f,e2,15,145.57289936834576
17,2025,f,e2,15,172.31846669591218
21,2025,f,e2,15,145.11746649679995
22,2025,f,e2,15,146.36591815566302
23,2025,f,e2,15,105.40944353391428
24,2025,f,e2,15,124.33619048124773
25,2025,f,e2,15,117.12841814032032
26,2025,f,e2,15,129.64490455860374
27,2025,f,e2,15,138.46517948745122
28,2025,f,e2,15,126.60504488474461
29,2025,f,e2,15,111.28325303430252
31,2025,f,e2,15,86.5868313461247
32,2025,f,e2,15,123.26288126644661
33,2025,f,e2,15,97.9687369534574
35,2025,f,e2,15,87.87462813840217
41,2025,f,e2,15,111.6936952345076
42,2025,f,e2,15,110.97605206049995
43,2025,f,e2,15,98.5556647310466
50,2025,f,e2,15,171.1615455984765
51,2025,f,e2,15,137.06515409445186
52,2025,f,e2,15,130.30685094292082
53,2025,f,e2,15,97.7631347653405
11,2030,f,e2,15,147.38888128105827
12,2030,f,e2,15,138.3475098997479
13,2030,f,e2,15,156.60748843235854
14,2030,f,e2,15,243.5995667812443
15,2030,f,e2,15,138.4163558011103
16,2030,f,e2,15,145.57289936834576
17,2030,f,e2,15,172.31846669591218
21,2030,f,e2,15,145.11746649679995
22,2030,f,e2,15,146.36591815566302
23,2030,f,e2,15,105.40944353391428
24,2030,f,e2,15,124.33619048124773
25,2030,f,e2,15,117.12841814032032
26,2030,f,e2,15,129.64490455860374
27,2030,f,e2,15,138.46517948745122
28,2030,f,e2,15,126.60504488474461
29,2030,f,e2,15,111.28325303430252
31,2030,f,e2,15,86.5868313461247
32,2030,f,e2,15,123.26288126644661
33,2030,f,e2,15,97.9687369534574
35,2030,f,e2,15,87.87462813840217
41,2030,f,e2,15,111.6936952345076
42,2030,f,e2,15,110.97605206049995
43,2030,f,e2,15,98.5556647310466
50,2030,f,e2,15,171.1615455984765
51,2030,f,e2,15,137.06515409445186
52,2030,f,e2,15,130.30685094292082
53,2030,f,e2,15,97.7631347653405
