sex,age,education,area,pop
Female,10--14,Primary,41,305587.26472017635
Female,10--14,Primary,42,182164.36741499137
Female,10--14,Primary,43,283227.7647822909
Female,10--14,Primary,50,76324.59123531301
Female,10--14,Primary,51,88955.5631465544
Female,10--14,Primary,52,173645.1510701709
Female,10--14,Primary,53,70501.29288943514
Female,10--14,Lower Secondary,11,4017.7015113775424
Female,10--14,Lower Secondary,12,1932.4482460745446
Female,10--14,Lower Secondary,13,8260.141059922349
Female,10--14,Lower Secondary,14,1183.004683726734
Female,10--14,Lower Secondary,15,14698.858872013514
Female,10--14,Lower Secondary,16,1893.7741944252032
Female,10--14,Lower Secondary,17,3470.2587327627393
Female,10--14,Lower Secondary,21,13821.447455123054
Female,10--14,Lower Secondary,22,4849.645356886142
Female,10--14,Lower Secondary,23,22272.796141299037
Female,10--14,Lower Secondary,24,8202.145897649618
Female,10--14,Lower Secondary,25,8665.809409553149
Female,10--14,Lower Secondary,26,21981.72663141824
Female,10--14,Lower Secondary,27,6865.671601076383
Female,10--14,Lower Secondary,28,3471.1952123594924
Female,10--14,Lower Secondary,29,28467.084492596758
Female,10--14,Lower Secondary,31,39241.15415540546
Female,10--14,Lower Secondary,32,7461.673629544264
Female,10--14,Lower Secondary,33,26960.377741887056
Female,10--14,Lower Secondary,35,103948.86995643856
Female,10--14,Lower Secondary,41,35006.60900161301
Female,10--14,Lower Secondary,42,19353.569963554386
Female,10--14,Lower Secondary,43,23582.468232332307
Female,10--14,Lower Secondary,50,6873.620161645841
Female,10--14,Lower Secondary,51,8628.75629155008
Female,10--14,Lower Secondary,52,17683.944717848284
Female,10--14,Lower Secondary,53,4663.007584480254
Female,10--14,Upper Secondary,11,56.0769966279843
Female,10--14,Upper Secondary,12,20.9026388747504
Female,10--14,Upper Secondary,13,220.1950919948554
Female,10--14,Upper Secondary,14,32.874828226964496
Female,10--14,Upper Secondary,15,338.0522284783174
Female,10--14,Upper Secondary,16,28.3959284277083
Female,10--14,Upper Secondary,17,65.16467056000491
Female,10--14,Upper Secondary,21,321.6381145224998
Female,10--14,Upper Secondary,22,9.682856664955
Female,10--14,Upper Secondary,23,539.6633076908782
Female,10--14,Upper Secondary,24,79.8344667603244
Female,10--14,Upper Secondary,25,116.7192020636878
Female,10--14,Upper Secondary,26,276.5041979212207
Female,10--14,Upper Secondary,27,117.8203080252276
Female,10--14,Upper Secondary,28,42.9126911046116
Female,10--14,Upper Secondary,29,594.5722467855637
Female,10--14,Upper Secondary,31,742.2719186547071
Female,10--14,Upper Secondary,32,138.59113877383768
Female,10--14,Upper Secondary,33,779.5154712564909
Female,10--14,Upper Secondary,35,2369.406262396762
Female,10--14,Upper Secondary,41,448.350841799129
Female,10--14,Upper Secondary,42,220.6810744920773
Female,10--14,Upper Secondary,43,285.7487824005562
Female,10--14,Upper Secondary,50,15.5939822914436
Female,10--14,Upper Secondary,51,147.5910826290709
Female,10--14,Upper Secondary,52,241.8750210924765
Female,10--14,Upper Secondary,53,148.1417945792602
Female,15--19,No Education,11,1490.9976654047903
Female,15--19,No Education,12,1632.4625659175867
Female,15--19,No Education,13,7676.659722617974
Female,15--19,No Education,14,1129.8401496219735
Female,15--19,No Education,15,9939.747475712038
Female,15--19,No Education,16,736.1758662185646
Female,15--19,No Education,17,1188.691815004402
Female,15--19,No Education,21,8209.189357388977
Female,15--19,No Education,22,2260.953868559895
Female,15--19,No Education,23,6487.078624919314
Female,15--19,No Education,24,1981.9065261060005
Female,15--19,No Education,25,2350.06647550026
Female,15--19,No Education,26,7663.498102586818
Female,15--19,No Education,27,3267.0910662708393
Female,15--19,No Education,28,1539.2461838144268
Female,15--19,No Education,29,12313.006370671126
Female,15--19,No Education,31,10874.56292486775
Female,15--19,No Education,32,1729.0508739981592
Female,15--19,No Education,33,8932.416173247753
Female,15--19,No Education,35,25799.84440104358
Female,15--19,No Education,41,5574.357446331045
Female,15--19,No Education,42,2789.189019548517
Female,15--19,No Education,43,5021.974520586475
Female,15--19,No Education,50,1499.1425168482208
Female,15--19,No Education,51,2905.2198808777393
Female,15--19,No Education,52,3849.5942153461647
Female,15--19,No Education,53,1339.5124241521803
Female,15--19,Incomplete Primary,11,6187.995634235587
Female,15--19,Incomplete Primary,12,5054.1248911571165
Female,15--19,Incomplete Primary,13,20939.919749359025
Female,15--19,Incomplete Primary,14,1646.1169036117337
Female,15--19,Incomplete Primary,15,50159.809119282196
Female,15--19,Incomplete Primary,16,3445.1774930909505
Female,15--19,Incomplete Primary,17,4036.70623270376
Female,15--19,Incomplete Primary,21,29892.629403887215
Female,15--19,Incomplete Primary,22,12289.080153197896
Female,15--19,Incomplete Primary,23,26697.795374390727
Female,15--19,Incomplete Primary,24,10817.932101779585
Female,15--19,Incomplete Primary,25,14028.964058433983
Female,15--19,Incomplete Primary,26,37792.54999762783
Female,15--19,Incomplete Primary,27,14858.500984927969
Female,15--19,Incomplete Primary,28,9099.421408334028
Female,15--19,Incomplete Primary,29,62166.82343956054
Female,15--19,Incomplete Primary,31,55679.9915541014
Female,15--19,Incomplete Primary,32,9413.114820073102
Female,15--19,Incomplete Primary,33,48451.6848110084
Female,15--19,Incomplete Primary,35,102873.32546793763
Female,15--19,Incomplete Primary,41,25158.21757221215
Female,15--19,Incomplete Primary,42,13920.283935484515
Female,15--19,Incomplete Primary,43,25407.45260825259
Female,15--19,Incomplete Primary,50,7185.265201684539
Female,15--19,Incomplete Primary,51,10511.202569298785
Female,15--19,Incomplete Primary,52,16701.65455338906
Female,15--19,Incomplete Primary,53,6266.44781777378
Female,15--19,Primary,11,19299.984192804375
Female,15--19,Primary,12,7834.1110770866935
Female,15--19,Primary,13,55836.383989224596
Female,15--19,Primary,14,4899.14552065547
Female,15--19,Primary,15,123148.63343669221
Female,15--19,Primary,16,8704.215442616842
Female,15--19,Primary,17,14804.542596061177
Female,15--19,Primary,21,90608.1693970669
Female,15--19,Primary,22,44471.35710143822
Female,15--19,Primary,23,95267.00527145047
Female,15--19,Primary,24,42052.717779669
Female,15--19,Primary,25,54318.32041719572
Female,15--19,Primary,26,112541.35544084095
Female,15--19,Primary,27,55128.809742737125
Female,15--19,Primary,28,33732.929539289114
Female,15--19,Primary,29,197922.62274521062
Female,15--19,Primary,31,160958.3916784516
Female,15--19,Primary,32,29704.986698794426
Female,15--19,Primary,33,141038.314012692
Female,15--19,Primary,35,212639.82567060727
Female,15--19,Primary,41,78898.4163125904
Female,15--19,Primary,42,38181.40443313931
Female,15--19,Primary,43,86253.67021197136
Female,15--19,Primary,50,28707.810872151083
Female,15--19,Primary,51,24382.898285733827
Female,15--19,Primary,52,45855.102593237425
Female,15--19,Primary,53,17587.023188718493
Female,15--19,Lower Secondary,11,36706.62912551254
Female,15--19,Lower Secondary,12,18077.704659541996
Female,15--19,Lower Secondary,13,75175.71466142494
Female,15--19,Lower Secondary,14,11322.365195157981
Female,15--19,Lower Secondary,15,164490.27400760248
Female,15--19,Lower Secondary,16,18447.689230586842
Female,15--19,Lower Secondary,17,34876.378696812404
Female,15--19,Lower Secondary,21,164098.63911465285
Female,15--19,Lower Secondary,22,71160.59469072946
Female,15--19,Lower Secondary,23,217940.31279987958
Female,15--19,Lower Secondary,24,66811.83222501277
Female,15--19,Lower Secondary,25,76788.9460754966
Female,15--19,Lower Secondary,26,186731.7196499655
Female,15--19,Lower Secondary,27,65398.44446638471
Female,15--19,Lower Secondary,28,42693.975667115825
Female,15--19,Lower Secondary,29,294381.66163695167
Female,15--19,Lower Secondary,31,450358.70472876716
