area,year,age_interval,edu,sex,n
12,1991,70-74,e4,0,32.187833839999996
12,1991,70-74,e4,1,49.432520260000004
12,1991,70-74,e5,0,12.879187420000001
12,1991,70-74,e5,1,4.24938524
12,1991,70-74,e6,1,8.87603165
12,1991,75-79,e1,0,650.64642133
12,1991,75-79,e1,1,870.63002603
12,1991,75-79,e2,0,168.91169551000002
12,1991,75-79,e2,1,217.97617363999998
12,1991,75-79,e3,0,106.18023578
12,1991,75-79,e3,1,112.7583213
12,1991,75-79,e4,0,2.93174399
12,1991,75-79,e4,1,24.608499249999998
12,1991,80-84,e1,0,430.14361027
12,1991,80-84,e1,1,438.22569692
12,1991,80-84,e2,0,74.10927206
12,1991,80-84,e2,1,57.18941135
12,1991,80-84,e3,0,111.33010399
12,1991,80-84,e3,1,105.05240624
12,1991,80-84,e4,1,28.524730249999998
12,1991,80-84,e6,1,8.9112303
12,1991,85-89,e1,0,178.13037887
12,1991,85-89,e1,1,89.07873191
12,1991,85-89,e2,0,12.842294599999999
12,1991,85-89,e2,1,48.47602435
12,1991,85-89,e3,0,25.43038639
12,1991,85-89,e3,1,30.24853997
12,1991,90-94,e1,0,27.06199497
12,1991,90-94,e1,1,36.28919835
12,1991,90-94,e2,0,9.06442442
12,1991,90-94,e3,1,16.94343589
12,1991,95-99,e1,0,20.22878177
12,1991,95-99,e1,1,21.20876476
12,1991,100+,e1,0,35.20834478
12,1991,100+,e1,1,7.21306321
12,1991,100+,e2,0,10.40378403
13,1991,0-4,NA,0,151493.29282835
13,1991,0-4,NA,1,154791.18302095
13,1991,05-09,e1,0,96746.29749047
13,1991,05-09,e1,1,102818.26238046
13,1991,05-09,e2,0,59248.52865797
13,1991,05-09,e2,1,58788.79390273
13,1991,05-09,e3,0,213.25763445
13,1991,05-09,e3,1,118.02077096000001
13,1991,10-14,e1,0,29071.04947348
13,1991,10-14,e1,1,33664.47829973
13,1991,10-14,e2,0,78237.30679708
13,1991,10-14,e2,1,83346.78981812
13,1991,10-14,e3,0,38753.97451998
13,1991,10-14,e3,1,31140.66367062
13,1991,10-14,e4,0,912.81067526
13,1991,10-14,e4,1,622.61989205
13,1991,15-19,e1,0,17800.39025097
13,1991,15-19,e1,1,21614.96856253
13,1991,15-19,e2,0,22903.64771125
13,1991,15-19,e2,1,27871.15451462
13,1991,15-19,e3,0,57901.52176448
13,1991,15-19,e3,1,53353.25578625
13,1991,15-19,e4,0,17914.33588103
13,1991,15-19,e4,1,13725.20061937
13,1991,15-19,e5,0,3707.24221471
13,1991,15-19,e5,1,2406.71488025
13,1991,15-19,e6,1,27.68280939
13,1991,20-24,e1,0,17040.7484572
13,1991,20-24,e1,1,18205.93021475
13,1991,20-24,e2,0,12326.13424834
13,1991,20-24,e2,1,14625.37433701
13,1991,20-24,e3,0,32843.77147752
13,1991,20-24,e3,1,33361.07305082
13,1991,20-24,e4,0,18024.3721874
13,1991,20-24,e4,1,17522.41780432
13,1991,20-24,e5,0,16031.30218558
13,1991,20-24,e5,1,12895.65576391
13,1991,20-24,e6,0,377.70969754
13,1991,20-24,e6,1,403.85163815
13,1991,25-29,e1,0,16399.803619540002
13,1991,25-29,e1,1,16869.830712080002
13,1991,25-29,e2,0,12321.13699893
13,1991,25-29,e2,1,12243.76156552
13,1991,25-29,e3,0,23231.3484956
13,1991,25-29,e3,1,21991.91147218
13,1991,25-29,e4,0,13711.89371085
13,1991,25-29,e4,1,13288.30100947
13,1991,25-29,e5,0,16604.90671036
13,1991,25-29,e5,1,16327.95906544
13,1991,25-29,e6,0,1714.59705455
13,1991,25-29,e6,1,1820.52008623
13,1991,30-34,e1,0,15772.36345621
13,1991,30-34,e1,1,17221.1202568
13,1991,30-34,e2,0,10518.92067942
13,1991,30-34,e2,1,10388.06844849
13,1991,30-34,e3,0,19324.50363717
13,1991,30-34,e3,1,17786.66754381
13,1991,30-34,e4,0,9228.56606313
13,1991,30-34,e4,1,10201.71107949
13,1991,30-34,e5,0,13546.39207085
13,1991,30-34,e5,1,13313.30094691
13,1991,30-34,e6,0,2177.44077401
13,1991,30-34,e6,1,2317.78635423
13,1991,35-39,e1,0,13919.26208311
13,1991,35-39,e1,1,14596.94380981
13,1991,35-39,e2,0,9519.33216048
13,1991,35-39,e2,1,10100.45450369
