age_group,year,area,npx,sex
85,2025,Acre,0.5288316605028573,male
90,2025,Acre,0,male
0,2026,Acre,0.9860735789401479,male
1,2026,Acre,0.9979037530020254,male
5,2026,Acre,0.999016501983092,male
10,2026,Acre,0.9981947252496617,male
15,2026,Acre,0.9926535025420816,male
20,2026,Acre,0.9904062745155946,male
25,2026,Acre,0.9901602327134629,male
30,2026,Acre,0.9874898823873565,male
35,2026,Acre,0.9855108078017105,male
40,2026,Acre,0.9802309466111275,male
45,2026,Acre,0.9724525501209013,male
50,2026,Acre,0.9650257568100241,male
55,2026,Acre,0.9458206613571662,male
60,2026,Acre,0.9252213592749616,male
65,2026,Acre,0.9021147944640567,male
70,2026,Acre,0.8433690809549992,male
75,2026,Acre,0.757129266876124,male
80,2026,Acre,0.6790088797100565,male
85,2026,Acre,0.5316459523790966,male
90,2026,Acre,0,male
0,2027,Acre,0.9863208357457176,male
1,2027,Acre,0.9979439337280203,male
5,2027,Acre,0.9990335588094115,male
10,2027,Acre,0.9982292393209591,male
15,2027,Acre,0.9927871134302141,male
20,2027,Acre,0.9905688877516898,male
25,2027,Acre,0.990335778027383,male
30,2027,Acre,0.9877213306331014,male
35,2027,Acre,0.9857678253837828,male
40,2027,Acre,0.980563241292116,male
45,2027,Acre,0.972872042694675,male
50,2027,Acre,0.965494029197404,male
55,2027,Acre,0.9464979811991848,male
60,2027,Acre,0.9260036708437266,male
65,2027,Acre,0.9029649971387981,male
70,2027,Acre,0.8446624197850553,male
75,2027,Acre,0.7590912654909228,male
80,2027,Acre,0.6809219677871733,male
85,2027,Acre,0.5342984662919605,male
90,2027,Acre,0,male
0,2028,Acre,0.986543367190322,male
1,2028,Acre,0.9979816525012142,male
5,2028,Acre,0.999049570013116,male
10,2028,Acre,0.9982616381494083,male
15,2028,Acre,0.9929125478938413,male
20,2028,Acre,0.9907215540764885,male
25,2028,Acre,0.9905005874653702,male
30,2028,Acre,0.9879386360302285,male
35,2028,Acre,0.9860091437594565,male
40,2028,Acre,0.98087526187672,male
45,2028,Acre,0.9732659752847248,male
50,2028,Acre,0.9659337912603672,male
55,2028,Acre,0.9471341984547825,male
60,2028,Acre,0.9267385914912152,male
65,2028,Acre,0.9037637590916793,male
70,2028,Acre,0.845878106324842,male
75,2028,Acre,0.7609369495522185,male
80,2028,Acre,0.6827217205306265,male
85,2028,Acre,0.5367967069711408,male
90,2028,Acre,0,male
0,2029,Acre,0.9867435495810671,male
1,2029,Acre,0.9980170432744006,male
5,2029,Acre,0.9990645925527686,male
10,2029,Acre,0.9982920368898,male
15,2029,Acre,0.9930302495287228,male
20,2029,Acre,0.9908648125910524,male
25,2029,Acre,0.9906552426253287,male
30,2029,Acre,0.9881425632374533,male
35,2029,Acre,0.9862356109652616,male
40,2029,Acre,0.9811681005917205,male
45,2029,Acre,0.9736357205519962,male
50,2029,Acre,0.9663465713411261,male
55,2029,Acre,0.9477314994085072,male
60,2029,Acre,0.9274286315102904,male
65,2029,Acre,0.9045137971957397,male
70,2029,Acre,0.8470201664781934,male
75,2029,Acre,0.76267216405915494,male
80,2029,Acre,0.6844138232448878,male
85,2029,Acre,0.5391480579379315,male
90,2029,Acre,0,male
0,2030,Acre,0.9869235496048445,male
1,2030,Acre,0.9980502348882861,male
5,2030,Acre,0.9990786812038499,male
10,2030,Acre,0.9983205462926831,male
15,2030,Acre,0.9931406451707148,male
20,2030,Acre,0.9909991821020769,male
25,2030,Acre,0.9908003032464809,male
30,2030,Acre,0.9883338483774629,male
35,2030,Acre,0.9864480434938409,male
40,2030,Acre,0.9814428094323556,male
45,2030,Acre,0.9739826011800685,male
50,2030,Acre,0.9667338425090128,male
55,2030,Acre,0.9482919935784723,male
60,2030,Acre,0.9280762144658206,male
65,2030,Acre,0.9052177355330426,male
70,2030,Acre,0.8480924987960008,male
75,2030,Acre,0.7643025940914433,male
80,2030,Acre,0.6860038070564722,male
85,2030,Acre,0.5413597506177419,male
90,2030,Acre,0,male
0,2031,Acre,0.9870853391076184,male
1,2031,Acre,0.9980813509656494,male
5,2031,Acre,0.9990918885153295,male
10,2031,Acre,0.9983472726150492,male
15,2031,Acre,0.9932441445184482,male
20,2031,Acre,0.9911251606514203,male
25,2031,Acre,0.9909363066960967,male
30,2031,Acre,0.9885131983294662,male
35,2031,Acre,0.9866472254927003,male
40,2031,Acre,0.9817003990669327,male
45,2031,Acre,0.9743078884051042,male
50,2031,Acre,0.9670970208641947,male
55,2031,Acre,0.9488177109239748,male
60,2031,Acre,0.9286836737646202,male
65,2031,Acre,0.9058781015129758,male
70,2031,Acre,0.8490988671391961,male
75,2031,Acre,0.7658337503369156,male
80,2031,Acre,0.6874970346299156,male
85,2031,Acre,0.5434388386721656,male
90,2031,Acre,0,male
0,2032,Acre,0.9872307096054164,male
1,2032,Acre,0.9981105098590383,male
5,2032,Acre,0.9991042647888204,male
10,2032,Acre,0.9983723175768338,male
15,2032,Acre,0.9933411399359965,male
20,2032,Acre,0.9912432252656186,male
25,2032,Acre,0.9910637676941462,male
30,2032,Acre,0.9886812903379529,male
35,2032,Acre,0.9868339083153765,male
40,2032,Acre,0.9819418382018931,male
45,2032,Acre,0.9746128011340836,male
50,2032,Acre,0.9674374645024869,male
55,2032,Acre,0.9493106000358996,male
60,2032,Acre,0.9292532503762545,male
65,2032,Acre,0.9064973232529719,male
70,2032,Acre,0.8500428953667231,male
75,2032,Acre,0.7672709579124316,male
80,2032,Acre,0.6888986891056118,male
85,2032,Acre,0.5453921771186343,male
90,2032,Acre,0,male
0,2033,Acre,0.9873612863374928,male
1,2033,Acre,0.9981378246447941,male
5,2033,Acre,0.9991158580772653,male
10,2033,Acre,0.998395778357056,male
15,2033,Acre,0.9934320064115301,male
20,2033,Acre,0.9913538318961506,male
25,2033,Acre,0.9911831782443037,male
30,2033,Acre,0.9888387718959675,male
35,2033,Acre,0.9870088103786899,male
40,2033,Acre,0.9821680533473226,male
45,2033,Acre,0.9748985055754257,male
50,2033,Acre,0.9677564730564547,male
55,2033,Acre,0.9497725271868551,male
60,2033,Acre,0.9297870915624229,male
65,2033,Acre,0.9070777280669439,male
70,2033,Acre,0.8509280638135012,male
75,2033,Acre,0.7686193481282086,male
80,2033,Acre,0.6902137659188491,male
