region,Time,sex,edu,agest,prop_in,inmigfinal
26,2050,f,e1,-5,NA,NA
27,2050,f,e1,-5,NA,NA
28,2050,f,e1,-5,NA,NA
29,2050,f,e1,-5,NA,NA
31,2050,f,e1,-5,NA,NA
32,2050,f,e1,-5,NA,NA
33,2050,f,e1,-5,NA,NA
35,2050,f,e1,-5,NA,NA
41,2050,f,e1,-5,NA,NA
42,2050,f,e1,-5,NA,NA
43,2050,f,e1,-5,NA,NA
50,2050,f,e1,-5,NA,NA
51,2050,f,e1,-5,NA,NA
52,2050,f,e1,-5,NA,NA
53,2050,f,e1,-5,NA,NA
11,2055,f,e1,-5,NA,NA
12,2055,f,e1,-5,NA,NA
13,2055,f,e1,-5,NA,NA
14,2055,f,e1,-5,NA,NA
15,2055,f,e1,-5,NA,NA
16,2055,f,e1,-5,NA,NA
17,2055,f,e1,-5,NA,NA
21,2055,f,e1,-5,NA,NA
22,2055,f,e1,-5,NA,NA
23,2055,f,e1,-5,NA,NA
24,2055,f,e1,-5,NA,NA
25,2055,f,e1,-5,NA,NA
26,2055,f,e1,-5,NA,NA
27,2055,f,e1,-5,NA,NA
28,2055,f,e1,-5,NA,NA
29,2055,f,e1,-5,NA,NA
31,2055,f,e1,-5,NA,NA
32,2055,f,e1,-5,NA,NA
33,2055,f,e1,-5,NA,NA
35,2055,f,e1,-5,NA,NA
41,2055,f,e1,-5,NA,NA
42,2055,f,e1,-5,NA,NA
43,2055,f,e1,-5,NA,NA
50,2055,f,e1,-5,NA,NA
51,2055,f,e1,-5,NA,NA
52,2055,f,e1,-5,NA,NA
53,2055,f,e1,-5,NA,NA
11,2010,m,e1,-5,NA,NA
12,2010,m,e1,-5,NA,NA
13,2010,m,e1,-5,NA,NA
14,2010,m,e1,-5,NA,NA
15,2010,m,e1,-5,NA,NA
16,2010,m,e1,-5,NA,NA
17,2010,m,e1,-5,NA,NA
21,2010,m,e1,-5,NA,NA
22,2010,m,e1,-5,NA,NA
23,2010,m,e1,-5,NA,NA
24,2010,m,e1,-5,NA,NA
25,2010,m,e1,-5,NA,NA
26,2010,m,e1,-5,NA,NA
27,2010,m,e1,-5,NA,NA
28,2010,m,e1,-5,NA,NA
29,2010,m,e1,-5,NA,NA
31,2010,m,e1,-5,NA,NA
32,2010,m,e1,-5,NA,NA
33,2010,m,e1,-5,NA,NA
35,2010,m,e1,-5,NA,NA
41,2010,m,e1,-5,NA,NA
42,2010,m,e1,-5,NA,NA
43,2010,m,e1,-5,NA,NA
50,2010,m,e1,-5,NA,NA
